Id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Scientific Name,Author,Rank,Listing,Party,Listed under,Full note,# Full note,All_DistributionFullNames,All_DistributionISOCodes,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain
7323,Animalia,Chordata,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,gigas,,Arapaima gigas,"(Cuvier, 1829)",SPECIES,II,,Arapaima gigas,,,"Brazil,Colombia,Ecuador,Guyana,Peru","BR,CO,EC,GY,PE","Brazil,Colombia,Ecuador,Guyana,Peru",,,,,,
6834,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,erectus,,Hippocampus erectus,"Perry, 1810",SPECIES,II,,Hippocampus spp.,,,"American Samoa,Anguilla (United Kingdom),Antigua and Barbuda,Argentina,Aruba,Bahamas,Barbados,Belize,Bermuda (United Kingdom),Brazil,British Virgin Islands (United Kingdom),Cabo Verde,Canada,Cayman Islands (United Kingdom),Colombia,Costa Rica,Cuba,Curaçao,Dominica,Dominican Republic,French Guiana [FR],Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat (United Kingdom),Netherlands Antilles,New Caledonia,Nicaragua,Panama,Puerto Rico,Réunion,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),United States of America,Uruguay,Venezuela (Bolivarian Republic of),Virgin Islands of the USA","AS,AI,AG,AR,AW,BS,BB,BZ,BM,BR,VG,CV,CA,KY,CO,CR,CU,CW,DM,DO,GF,GD,GP,GT,GY,HT,HN,JM,MQ,MX,MS,AN,NC,NI,PA,PR,RE,SH,KN,LC,VC,SR,TT,TC,US,UY,VE,VI","American Samoa,Anguilla (United Kingdom),Antigua and Barbuda,Aruba,Bahamas,Barbados,Belize,Bermuda (United Kingdom),Brazil,British Virgin Islands (United Kingdom),Cabo Verde,Canada,Cayman Islands (United Kingdom),Colombia,Costa Rica,Cuba,Curaçao,Dominica,Dominican Republic,French Guiana [FR],Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat (United Kingdom),Netherlands Antilles,New Caledonia,Nicaragua,Panama,Puerto Rico,Réunion,Saint Helena and Dependencies (United Kingdom),Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),United States of America,Uruguay,Venezuela (Bolivarian Republic of),Virgin Islands of the USA",,,,,,Argentina
7487,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,ingens,,Hippocampus ingens,"Girard, 1858",SPECIES,II,,Hippocampus spp.,,,"Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Peru,United States of America","CL,CO,CR,EC,SV,GT,HN,MX,NI,PA,PE,US","Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Peru,United States of America",,,,,,
7593,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,patagonicus,,Hippocampus patagonicus,"Piacentino & Luzzatto, 2004",SPECIES,II,,Hippocampus spp.,,,"Argentina,Brazil,Uruguay","AR,BR,UY","Argentina,Brazil,Uruguay",,,,,,
5994,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,reidi,,Hippocampus reidi,"Ginsburg, 1933",SPECIES,II,,Hippocampus spp.,,,"Anguilla (United Kingdom),Antigua and Barbuda,Aruba,Bahamas,Barbados,Belize,Bermuda (United Kingdom),Brazil,British Virgin Islands (United Kingdom),Cayman Islands (United Kingdom),Colombia,Costa Rica,Cuba,Dominica,Dominican Republic,France,French Guiana [FR],Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat (United Kingdom),Netherlands,Netherlands Antilles,Nicaragua,Panama,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Suriname,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),United States of America,Uruguay,Venezuela (Bolivarian Republic of),Virgin Islands of the USA","AI,AG,AW,BS,BB,BZ,BM,BR,VG,KY,CO,CR,CU,DM,DO,FR,GF,GD,GP,GT,GY,HT,HN,JM,MQ,MX,MS,NL,AN,NI,PA,PR,KN,LC,VC,SR,TT,TC,US,UY,VE,VI","Anguilla (United Kingdom),Aruba,Bahamas,Barbados,Belize,Bermuda (United Kingdom),Brazil,British Virgin Islands (United Kingdom),Cayman Islands (United Kingdom),Colombia,Cuba,French Guiana [FR],Grenada,Guadeloupe,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat (United Kingdom),Netherlands Antilles,Nicaragua,Panama,Puerto Rico,Saint Lucia,Suriname,Trinidad and Tobago,Turks and Caicos Islands (United Kingdom),United States of America,Uruguay,Venezuela (Bolivarian Republic of),Virgin Islands of the USA",,,,,,"Antigua and Barbuda,Costa Rica,Dominica,Dominican Republic,France,Guatemala,Guyana,Netherlands,Saint Kitts and Nevis,Saint Vincent and the Grenadines"
5516,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,zosterae,,Hippocampus zosterae,"Jordan & Gilbert, 1882",SPECIES,II,,Hippocampus spp.,,,"Bahamas,Belize,Bermuda (United Kingdom),Cuba,Mexico,United States of America","BS,BZ,BM,CU,MX,US","Bahamas,Belize,Bermuda (United Kingdom),Cuba,Mexico,United States of America",,,,,,
4985,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope,cervicapra,,Antilope cervicapra,"(Linnaeus, 1758)",SPECIES,III,"NP,PK",Antilope cervicapra,,,"Argentina,Bangladesh,India,Mexico,Nepal,Pakistan,United States of America","AR,BD,IN,MX,NP,PK,US","India,Nepal","Argentina,Mexico,United States of America",,Pakistan,"Bangladesh,Pakistan",,
10716,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,guanicoe,,Lama guanicoe,"(P. L. S. Müller, 1776)",SPECIES,II,,Lama guanicoe,**II** Formerly listed under synonym Lama glama guanicoe,,"Argentina,Bolivia (Plurinational State of),Chile,Falkland Islands (Malvinas),Paraguay,Peru","AR,BO,CL,FK,PY,PE","Argentina,Bolivia (Plurinational State of),Chile,Paraguay,Peru",Falkland Islands (Malvinas),,,,,
3436,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,vicugna,,Vicugna vicugna,"(Molina, 1782)",SPECIES,I/II,,Vicugna vicugna,"**I** Except the populations of: Argentina (the populations of the Provinces of Jujuy and Catamarca and the semi-captive populations of the Provinces of Jujuy, Salta, Catamarca, La Rioja and San Juan), Chile (population of the Primera Región), Ecuador (the whole population), Peru (the whole population) and the Plurinational State of Bolivia (the whole population), which are included in Appendix II.
**II** Only the populations of Argentina (the populations of the Provinces of Jujuy and Catamarca and the semi-captive populations of the Provinces of Jujuy, Salta, Catamarca, La Rioja and San Juan), Chile (population of the Primera Región), Ecuador (the whole population), Peru (the whole population) and the Plurinational State of Bolivia (the whole population); all other populations are included in Appendix I.

For the exclusive purpose of allowing international trade in fibre from vicuñas (Vicugna vicugna) and their derivative products, only if the fibre comes from the shearing of live vicuñas. Trade in products derived from the fibre may only take place in accordance with the following provisions:
a) Any person or entity processing vicuña fibre to manufacture cloth and garments must request authorization from the relevant authorities of the country of origin (Countries of origin: The countries where the species occurs, that is, Argentina, Bolivia, Chile, Ecuador and Peru) to use the ""vicuña country of origin"" wording, mark or logo adopted by the range States of the species that are signatories to the Convention for the Conservation and Management of the Vicuña.
b) Marketed cloth or garments must be marked or identified in accordance with the following provisions:
i) For international trade in cloth made from live-sheared vicuña fibre, whether the cloth was produced within or outside of the range States of the species, the wording, mark or logo must be used so that the country of origin can be identified. The VICUÑA [COUNTRY OF ORIGIN] wording, mark or logo has the format as detailed below:

This wording, mark or logo must appear on the reverse side of the cloth. In addition, the selvages of the cloth must bear the words VICUÑA [COUNTRY OF ORIGIN].
ii) For international trade in garments made from live-sheared vicuña fibre, whether the garments were produced within or outside of the range States of the species, the wording, mark or logo indicated in paragraph b) i) must be used. This wording, mark or logo must appear on a label on the garment itself. If the garments are produced outside of the country of origin, the name of the country where the garment was produced should also be indicated, in addition to the wording, mark or logo referred to in paragraph b) i).
c) For international trade in handicraft products made from live-sheared vicuña fibre produced within the range States of the species, the VICUÑA [COUNTRY OF ORIGIN] - ARTESANÍA wording, mark or logo must be used as detailed below:

d) If live-sheared vicuña fibre from various countries of origin is used for the production of cloth and garments, the wording, mark or logo of each of the countries of origin of the fibre must be indicated, as detailed in paragraphs b) i) and ii).
e) All other specimens shall be deemed to be specimens of species listed in Appendix I and the trade in them shall be regulated accordingly.",,"Argentina,Bolivia (Plurinational State of),Chile,Ecuador,Peru","AR,BO,CL,EC,PE","Argentina,Bolivia (Plurinational State of),Chile,Peru",,,Ecuador,,,
3625,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Blastocerus,dichotomus,,Blastocerus dichotomus,"(Illiger, 1815)",SPECIES,I,,Blastocerus dichotomus,,,"Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Peru,Uruguay","AR,BO,BR,PY,PE,UY","Argentina,Bolivia (Plurinational State of),Brazil,Paraguay,Peru",,,,Uruguay,,
