id_animal,Kingdom,Subspecies,Class,Phylum,id_genus,id_autor
7323,Animalia,,Actinopteri,Chordata,2,2
6834,Animalia,,Actinopteri,Chordata,3,3
7487,Animalia,,Actinopteri,Chordata,4,4
7593,Animalia,,Actinopteri,Chordata,5,5
5994,Animalia,,Actinopteri,Chordata,6,6
5516,Animalia,,Actinopteri,Chordata,7,7
4985,Animalia,,Mammalia,Chordata,8,8
10716,Animalia,,Mammalia,Chordata,9,9
3436,Animalia,,Mammalia,Chordata,10,10
3625,Animalia,,Mammalia,Chordata,11,11
9206,Animalia,,Mammalia,Chordata,12,12
10636,Animalia,,Mammalia,Chordata,13,13
12217,Animalia,cerasina,Mammalia,Chordata,14,14
12333,Animalia,mayensis,Mammalia,Chordata,15,15
8832,Animalia,,Mammalia,Chordata,16,16
5742,Animalia,,Mammalia,Chordata,17,17
10291,Animalia,,Mammalia,Chordata,18,18
8725,Animalia,,Mammalia,Chordata,19,19
8246,Animalia,,Mammalia,Chordata,20,20
5827,Animalia,,Mammalia,Chordata,21,21
5656,Animalia,,Mammalia,Chordata,22,22
6975,Animalia,,Mammalia,Chordata,23,23
8023,Animalia,,Mammalia,Chordata,24,24
7195,Animalia,,Mammalia,Chordata,25,25
8142,Animalia,,Mammalia,Chordata,26,26
8201,Animalia,,Mammalia,Chordata,27,27
7041,Animalia,,Mammalia,Chordata,28,28
3072,Animalia,,Mammalia,Chordata,29,29
3049,Animalia,,Mammalia,Chordata,30,30
3167,Animalia,,Mammalia,Chordata,31,31
7534,Animalia,,Mammalia,Chordata,32,32
6408,Animalia,,Mammalia,Chordata,33,33
9189,Animalia,,Mammalia,Chordata,34,34
10120,Animalia,,Mammalia,Chordata,35,35
3399,Animalia,,Mammalia,Chordata,36,36
4427,Animalia,,Mammalia,Chordata,37,37
6385,Animalia,,Mammalia,Chordata,38,38
6330,Animalia,,Mammalia,Chordata,39,39
12230,Animalia,costaricensis,Mammalia,Chordata,40,40
12325,Animalia,couguar,Mammalia,Chordata,41,41
9682,Animalia,,Mammalia,Chordata,42,42
6973,Animalia,,Mammalia,Chordata,43,43
12195,Animalia,auropunctatus,Mammalia,Chordata,44,44
9154,Animalia,,Mammalia,Chordata,45,45
7817,Animalia,,Mammalia,Chordata,46,46
4391,Animalia,,Mammalia,Chordata,47,47
5716,Animalia,,Mammalia,Chordata,48,48
6787,Animalia,,Mammalia,Chordata,49,49
6048,Animalia,,Mammalia,Chordata,50,50
8813,Animalia,,Mammalia,Chordata,51,51
9396,Animalia,,Mammalia,Chordata,52,52
