id_family,Family
2,Arapaimidae
3,Syngnathidae
4,Syngnathidae
5,Syngnathidae
6,Syngnathidae
7,Syngnathidae
8,Bovidae
9,Camelidae
10,Camelidae
11,Cervidae
12,Cervidae
13,Cervidae
14,Cervidae
15,Cervidae
16,Cervidae
17,Cervidae
18,Cervidae
19,Tayassuidae
20,Tayassuidae
21,Tayassuidae
22,Canidae
23,Canidae
24,Canidae
25,Canidae
26,Canidae
27,Canidae
28,Canidae
29,Felidae
30,Felidae
31,Felidae
32,Felidae
33,Felidae
34,Felidae
35,Felidae
36,Felidae
37,Felidae
38,Felidae
39,Felidae
40,Felidae
41,Felidae
42,Felidae
43,Herpestidae
44,Herpestidae
45,Mephitidae
46,Mustelidae
47,Mustelidae
48,Mustelidae
49,Mustelidae
50,Mustelidae
51,Mustelidae
52,Otariidae
53,Otariidae
54,Otariidae
55,Otariidae
56,Otariidae
57,Phocidae
58,Phocidae
59,Procyonidae
60,Procyonidae
61,Procyonidae
62,Procyonidae
63,Procyonidae
64,Ursidae
65,Balaenidae
66,Balaenidae
67,Balaenopteridae
68,Balaenopteridae
69,Balaenopteridae
70,Balaenopteridae
71,Balaenopteridae
72,Balaenopteridae
73,Balaenopteridae
74,Delphinidae
75,Delphinidae
76,Delphinidae
77,Delphinidae
78,Delphinidae
79,Delphinidae
80,Delphinidae
81,Delphinidae
82,Delphinidae
83,Delphinidae
84,Delphinidae
85,Delphinidae
86,Delphinidae
87,Delphinidae
88,Delphinidae
89,Delphinidae
90,Delphinidae
91,Delphinidae
92,Delphinidae
93,Delphinidae
94,Delphinidae
95,Delphinidae
96,Delphinidae
97,Delphinidae
98,Delphinidae
99,Iniidae
100,Iniidae
101,Neobalaenidae
102,Phocoenidae
103,Phocoenidae
104,Physeteridae
105,Physeteridae
106,Physeteridae
107,Ziphiidae
108,Ziphiidae
109,Ziphiidae
110,Ziphiidae
111,Ziphiidae
112,Ziphiidae
113,Ziphiidae
114,Ziphiidae
115,Ziphiidae
116,Ziphiidae
117,Ziphiidae
118,Ziphiidae
119,Ziphiidae
120,Ziphiidae
121,Ziphiidae
122,Phyllostomidae
123,Dasypodidae
124,Dasypodidae
125,Dasypodidae
126,Dasypodidae
127,Tapiridae
128,Tapiridae
129,Tapiridae
130,Bradypodidae
131,Bradypodidae
132,Megalonychidae
133,Myrmecophagidae
134,Myrmecophagidae
135,Aotidae
136,Aotidae
137,Aotidae
138,Aotidae
139,Aotidae
140,Aotidae
141,Aotidae
142,Aotidae
143,Aotidae
144,Atelidae
145,Atelidae
146,Atelidae
147,Atelidae
148,Atelidae
149,Atelidae
150,Atelidae
151,Atelidae
152,Atelidae
153,Atelidae
154,Atelidae
155,Atelidae
156,Atelidae
157,Atelidae
158,Atelidae
159,Atelidae
160,Atelidae
161,Atelidae
162,Atelidae
163,Atelidae
164,Atelidae
165,Atelidae
166,Atelidae
167,Atelidae
168,Atelidae
169,Atelidae
170,Cebidae
171,Cebidae
172,Cebidae
173,Cebidae
174,Cebidae
175,Cebidae
176,Cebidae
177,Cebidae
178,Cebidae
179,Cebidae
180,Cebidae
181,Cebidae
182,Cebidae
183,Cebidae
184,Cebidae
185,Cebidae
186,Cebidae
187,Cebidae
188,Cebidae
189,Cebidae
190,Cebidae
191,Cebidae
192,Cebidae
193,Cebidae
194,Cebidae
195,Cebidae
196,Cebidae
197,Cebidae
198,Cebidae
199,Cebidae
200,Cebidae
201,Cebidae
202,Cebidae
203,Cebidae
204,Cebidae
205,Cebidae
206,Cebidae
207,Cebidae
208,Cebidae
209,Cebidae
210,Cebidae
211,Cebidae
212,Cebidae
213,Cebidae
214,Cebidae
215,Cebidae
216,Cebidae
217,Cebidae
218,Cebidae
219,Cebidae
220,Cebidae
221,Cebidae
222,Cebidae
223,Cebidae
224,Cebidae
225,Cebidae
226,Cebidae
227,Cebidae
228,Cebidae
229,Cebidae
230,Cercopithecidae
231,Cercopithecidae
232,Pitheciidae
233,Pitheciidae
234,Pitheciidae
235,Pitheciidae
236,Pitheciidae
237,Pitheciidae
238,Pitheciidae
239,Pitheciidae
240,Pitheciidae
241,Pitheciidae
242,Pitheciidae
243,Pitheciidae
244,Pitheciidae
245,Pitheciidae
246,Pitheciidae
247,Pitheciidae
248,Pitheciidae
249,Pitheciidae
250,Pitheciidae
251,Pitheciidae
252,Pitheciidae
253,Pitheciidae
254,Pitheciidae
