id_genus,Genus
2,Arapaima
3,Hippocampus
4,Hippocampus
5,Hippocampus
6,Hippocampus
7,Hippocampus
8,Antilope
9,Lama
10,Vicugna
11,Blastocerus
12,Hippocamelus
13,Hippocamelus
14,Mazama
15,Odocoileus
16,Ozotoceros
17,Pudu
18,Pudu
19,Catagonus
20,Pecari
21,Tayassu
22,Cerdocyon
23,Chrysocyon
24,Lycalopex
25,Lycalopex
26,Lycalopex
27,Lycalopex
28,Speothos
29,Leopardus
30,Leopardus
31,Leopardus
32,Leopardus
33,Leopardus
34,Leopardus
35,Leopardus
36,Leopardus
37,Leopardus
38,Panthera
39,Puma
40,Puma
41,Puma
42,Puma
43,Herpestes
44,Herpestes
45,Conepatus
46,Lontra
47,Lontra
48,Lontra
49,Pteronura
50,Eira
51,Galictis
52,Arctocephalus
53,Arctocephalus
54,Arctocephalus
55,Arctocephalus
56,Arctocephalus
57,Mirounga
58,Monachus
59,Bassaricyon
60,Bassariscus
61,Nasua
62,Nasua
63,Potos
64,Tremarctos
65,Eubalaena
66,Eubalaena
67,Balaenoptera
68,Balaenoptera
69,Balaenoptera
70,Balaenoptera
71,Balaenoptera
72,Balaenoptera
73,Megaptera
74,Cephalorhynchus
75,Cephalorhynchus
76,Delphinus
77,Delphinus
78,Feresa
79,Globicephala
80,Globicephala
81,Grampus
82,Lagenodelphis
83,Lagenorhynchus
84,Lagenorhynchus
85,Lagenorhynchus
86,Lissodelphis
87,Orcinus
88,Peponocephala
89,Pseudorca
90,Sotalia
91,Sotalia
92,Stenella
93,Stenella
94,Stenella
95,Stenella
96,Stenella
97,Steno
98,Tursiops
99,Inia
100,Pontoporia
101,Caperea
102,Phocoena
103,Phocoena
104,Kogia
105,Kogia
106,Physeter
107,Berardius
108,Hyperoodon
109,Mesoplodon
110,Mesoplodon
111,Mesoplodon
112,Mesoplodon
113,Mesoplodon
114,Mesoplodon
115,Mesoplodon
116,Mesoplodon
117,Mesoplodon
118,Mesoplodon
119,Mesoplodon
120,Tasmacetus
121,Ziphius
122,Platyrrhinus
123,Cabassous
124,Cabassous
125,Chaetophractus
126,Priodontes
127,Tapirus
128,Tapirus
129,Tapirus
130,Bradypus
131,Bradypus
132,Choloepus
133,Myrmecophaga
134,Tamandua
135,Aotus
136,Aotus
137,Aotus
138,Aotus
139,Aotus
140,Aotus
141,Aotus
142,Aotus
143,Aotus
144,Alouatta
145,Alouatta
146,Alouatta
147,Alouatta
148,Alouatta
149,Alouatta
150,Alouatta
151,Alouatta
152,Alouatta
153,Alouatta
154,Ateles
155,Ateles
156,Ateles
157,Ateles
158,Ateles
159,Ateles
160,Ateles
161,Ateles
162,Ateles
163,Brachyteles
164,Brachyteles
165,Lagothrix
166,Lagothrix
167,Lagothrix
168,Lagothrix
169,Oreonax
170,Callimico
171,Callithrix
172,Callithrix
173,Callithrix
174,Callithrix
175,Callithrix
176,Callithrix
177,Callithrix
178,Callithrix
179,Callithrix
180,Callithrix
181,Callithrix
182,Callithrix
183,Callithrix
184,Callithrix
185,Callithrix
186,Callithrix
187,Callithrix
188,Callithrix
189,Callithrix
190,Callithrix
191,Callithrix
192,Cebus
193,Cebus
194,Cebus
195,Cebus
196,Cebus
197,Cebus
198,Cebus
199,Cebus
200,Cebus
201,Leontopithecus
202,Leontopithecus
203,Leontopithecus
204,Leontopithecus
205,Mico
206,Saguinus
207,Saguinus
208,Saguinus
209,Saguinus
210,Saguinus
211,Saguinus
212,Saguinus
213,Saguinus
214,Saguinus
215,Saguinus
216,Saguinus
217,Saguinus
218,Saguinus
219,Saguinus
220,Saguinus
221,Saguinus
222,Saguinus
223,Saguinus
224,Saimiri
225,Saimiri
226,Saimiri
227,Saimiri
228,Saimiri
229,Saimiri
230,Cercopithecus
231,Chlorocebus
232,Cacajao
233,Cacajao
234,Cacajao
235,Callicebus
236,Callicebus
237,Callicebus
238,Callicebus
239,Callicebus
240,Callicebus
241,Callicebus
242,Callicebus
243,Callicebus
244,Callicebus
245,Callicebus
246,Callicebus
247,Callicebus
248,Callicebus
249,Callicebus
250,Callicebus
251,Callicebus
252,Callicebus
253,Callicebus
254,Callicebus
255,Callicebus
256,Callicebus
257,Callicebus
258,Callicebus
259,Callicebus
260,Callicebus
261,Callicebus
262,Callicebus
263,Callicebus
264,Callicebus
265,Chiropotes
266,Chiropotes
267,Chiropotes
268,Chiropotes
269,Chiropotes
270,Pithecia
271,Pithecia
272,Pithecia
273,Pithecia
274,Pithecia
275,Pithecia
276,Pithecia
277,Pithecia
278,Pithecia
279,Pithecia
280,Pithecia
281,Chinchilla
282,Chinchilla
283,Cuniculus
284,Dasyprocta
285,Sphiggurus
286,Sphiggurus
287,Sciurus
288,Trichechus
289,Trichechus
290,Coscoroba
291,Cygnus
292,Dendrocygna
293,Dendrocygna
294,Dendrocygna
295,Sarkidiornis
296,Abeillia
297,Adelomyia
298,Aglaeactis
299,Aglaeactis
300,Aglaeactis
301,Aglaeactis
302,Aglaiocercus
303,Aglaiocercus
304,Amazilia
305,Amazilia
306,Amazilia
307,Amazilia
308,Amazilia
309,Amazilia
310,Amazilia
311,Amazilia
312,Amazilia
313,Amazilia
314,Amazilia
315,Amazilia
316,Amazilia
317,Amazilia
318,Amazilia
319,Amazilia
320,Amazilia
321,Amazilia
322,Amazilia
323,Amazilia
324,Amazilia
325,Amazilia
326,Amazilia
327,Amazilia
328,Amazilia
329,Amazilia
330,Amazilia
331,Amazilia
332,Amazilia
333,Amazilia
334,Amazilia
335,Androdon
336,Anopetia
337,Anthocephala
338,Anthracothorax
339,Anthracothorax
340,Anthracothorax
341,Anthracothorax
342,Anthracothorax
343,Anthracothorax
344,Anthracothorax
345,Aphantochroa
346,Archilochus
347,Atthis
348,Augastes
349,Augastes
350,Basilinna
351,Boissonneaua
352,Boissonneaua
353,Boissonneaua
354,Calliphlox
355,Calliphlox
356,Calliphlox
357,Calliphlox
358,Campylopterus
359,Campylopterus
360,Campylopterus
361,Campylopterus
362,Campylopterus
363,Campylopterus
364,Campylopterus
365,Campylopterus
366,Campylopterus
367,Campylopterus
368,Campylopterus
369,Chaetocercus
370,Chaetocercus
371,Chaetocercus
372,Chaetocercus
373,Chaetocercus
374,Chaetocercus
375,Chalcostigma
376,Chalcostigma
377,Chalcostigma
378,Chalcostigma
379,Chalcostigma
380,Chalybura
381,Chalybura
382,Chlorostilbon
383,Chlorostilbon
384,Chlorostilbon
385,Chlorostilbon
386,Chlorostilbon
387,Chlorostilbon
388,Chlorostilbon
389,Chlorostilbon
390,Chlorostilbon
391,Chlorostilbon
392,Chlorostilbon
393,Chlorostilbon
394,Chrysolampis
395,Chrysuronia
396,Clytolaema
