id_order,Order
2,Osteoglossiformes
3,Syngnathiformes
4,Syngnathiformes
5,Syngnathiformes
6,Syngnathiformes
7,Syngnathiformes
8,Artiodactyla
9,Artiodactyla
10,Artiodactyla
11,Artiodactyla
12,Artiodactyla
13,Artiodactyla
14,Artiodactyla
15,Artiodactyla
16,Artiodactyla
17,Artiodactyla
18,Artiodactyla
19,Artiodactyla
20,Artiodactyla
21,Artiodactyla
22,Carnivora
23,Carnivora
24,Carnivora
25,Carnivora
26,Carnivora
27,Carnivora
28,Carnivora
29,Carnivora
30,Carnivora
31,Carnivora
32,Carnivora
33,Carnivora
34,Carnivora
35,Carnivora
36,Carnivora
37,Carnivora
38,Carnivora
39,Carnivora
40,Carnivora
41,Carnivora
42,Carnivora
43,Carnivora
44,Carnivora
45,Carnivora
46,Carnivora
47,Carnivora
48,Carnivora
49,Carnivora
50,Carnivora
51,Carnivora
52,Carnivora
53,Carnivora
54,Carnivora
55,Carnivora
56,Carnivora
57,Carnivora
58,Carnivora
59,Carnivora
60,Carnivora
61,Carnivora
62,Carnivora
63,Carnivora
64,Carnivora
65,Cetacea
66,Cetacea
67,Cetacea
68,Cetacea
69,Cetacea
70,Cetacea
71,Cetacea
72,Cetacea
73,Cetacea
74,Cetacea
75,Cetacea
76,Cetacea
77,Cetacea
78,Cetacea
79,Cetacea
80,Cetacea
81,Cetacea
82,Cetacea
83,Cetacea
84,Cetacea
85,Cetacea
86,Cetacea
87,Cetacea
88,Cetacea
89,Cetacea
90,Cetacea
91,Cetacea
92,Cetacea
93,Cetacea
94,Cetacea
95,Cetacea
96,Cetacea
97,Cetacea
98,Cetacea
99,Cetacea
100,Cetacea
101,Cetacea
102,Cetacea
103,Cetacea
104,Cetacea
105,Cetacea
106,Cetacea
107,Cetacea
108,Cetacea
109,Cetacea
110,Cetacea
111,Cetacea
112,Cetacea
113,Cetacea
114,Cetacea
115,Cetacea
116,Cetacea
117,Cetacea
118,Cetacea
119,Cetacea
120,Cetacea
121,Cetacea
122,Chiroptera
123,Cingulata
124,Cingulata
125,Cingulata
126,Cingulata
127,Perissodactyla
128,Perissodactyla
129,Perissodactyla
130,Pilosa
131,Pilosa
132,Pilosa
133,Pilosa
134,Pilosa
135,Primates
136,Primates
137,Primates
138,Primates
139,Primates
140,Primates
141,Primates
142,Primates
143,Primates
144,Primates
145,Primates
146,Primates
147,Primates
148,Primates
149,Primates
150,Primates
151,Primates
152,Primates
153,Primates
154,Primates
155,Primates
156,Primates
157,Primates
158,Primates
159,Primates
160,Primates
161,Primates
162,Primates
163,Primates
164,Primates
165,Primates
166,Primates
167,Primates
168,Primates
169,Primates
170,Primates
171,Primates
172,Primates
173,Primates
174,Primates
175,Primates
176,Primates
177,Primates
178,Primates
179,Primates
180,Primates
181,Primates
182,Primates
183,Primates
184,Primates
185,Primates
186,Primates
187,Primates
188,Primates
189,Primates
190,Primates
191,Primates
192,Primates
193,Primates
194,Primates
195,Primates
196,Primates
197,Primates
198,Primates
199,Primates
200,Primates
201,Primates
202,Primates
203,Primates
204,Primates
205,Primates
206,Primates
207,Primates
208,Primates
209,Primates
210,Primates
211,Primates
212,Primates
213,Primates
214,Primates
215,Primates
216,Primates
217,Primates
218,Primates
219,Primates
220,Primates
221,Primates
222,Primates
223,Primates
224,Primates
225,Primates
226,Primates
227,Primates
228,Primates
229,Primates
230,Primates
231,Primates
232,Primates
233,Primates
234,Primates
235,Primates
236,Primates
237,Primates
238,Primates
239,Primates
240,Primates
241,Primates
242,Primates
243,Primates
244,Primates
245,Primates
246,Primates
247,Primates
248,Primates
249,Primates
250,Primates
251,Primates
252,Primates
253,Primates
254,Primates
255,Primates
256,Primates
257,Primates
258,Primates
259,Primates
260,Primates
261,Primates
262,Primates
263,Primates
264,Primates
265,Primates
266,Primates
267,Primates
268,Primates
269,Primates
270,Primates
271,Primates
272,Primates
273,Primates
274,Primates
275,Primates
276,Primates
277,Primates
278,Primates
279,Primates
280,Primates
281,Rodentia
282,Rodentia
283,Rodentia
284,Rodentia
285,Rodentia
286,Rodentia
287,Rodentia
288,Sirenia
289,Sirenia
290,Anseriformes
291,Anseriformes
292,Anseriformes
293,Anseriformes
294,Anseriformes
295,Anseriformes
296,Apodiformes
297,Apodiformes
298,Apodiformes
299,Apodiformes
300,Apodiformes
301,Apodiformes
302,Apodiformes
303,Apodiformes
304,Apodiformes
305,Apodiformes
306,Apodiformes
307,Apodiformes
308,Apodiformes
309,Apodiformes
310,Apodiformes
311,Apodiformes
312,Apodiformes
313,Apodiformes
314,Apodiformes
315,Apodiformes
316,Apodiformes
317,Apodiformes
318,Apodiformes
