Id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,Scientific Name,Author,Rank,Listing,Party,Listed under,Full note,# Full note,All_DistributionFullNames,All_DistributionISOCodes,NativeDistributionFullNames,Introduced_Distribution,Introduced(?)_Distribution,Reintroduced_Distribution,Extinct_Distribution,Extinct(?)_Distribution,Distribution_Uncertain
68093,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,Allonautilus,scrobiculatus,,Allonautilus scrobiculatus,"Lightfoot, 1786",SPECIES,II,"",Nautilidae spp.,"","","Papua New Guinea,Solomon Islands","PG,SB","Papua New Guinea,Solomon Islands",,,,,,
68185,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,Nautilus,belauensis,,Nautilus belauensis,"Saunders, 1981",SPECIES,II,"",Nautilidae spp.,"","",Palau,PW,Palau,,,,,,
68181,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,Nautilus,pompilius,,Nautilus pompilius,"Linnaeus, 1758",SPECIES,II,"",Nautilidae spp.,"","","American Samoa,Australia,Fiji,India,Indonesia,Malaysia,New Caledonia,Papua New Guinea,Philippines,Solomon Islands,Vanuatu","AS,AU,FJ,IN,ID,MY,NC,PG,PH,SB,VU","American Samoa,Australia,Fiji,India,Indonesia,Malaysia,New Caledonia,Papua New Guinea,Philippines,Solomon Islands,Vanuatu",,,,,,
68097,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,Nautilus,repertus,,Nautilus repertus,"Iredale, 1944",SPECIES,II,"",Nautilidae spp.,"","",Australia,AU,Australia,,,,,,
93871,Animalia,Mollusca,Cephalopoda,Nautilida,Nautilidae,Nautilus,stenomphalus,,Nautilus stenomphalus,"Sowerby, 1849",SPECIES,II,"",Nautilidae spp.,"","",Australia,AU,Australia,,,,,,
9765,Animalia,Chordata,Dipneusti,Ceratodontiformes,Neoceratodontidae,Neoceratodus,forsteri,,Neoceratodus forsteri,"(Krefft, 1870)",SPECIES,II,"",Neoceratodus forsteri,"","",Australia,AU,Australia,,,,,,
6338,Animalia,Chordata,Actinopteri,Osteoglossiformes,Osteoglossidae,Scleropages,formosus,,Scleropages formosus,"(Müller & Schlegel, 1844)",SPECIES,I,"",Scleropages formosus,"","","Cambodia,Christmas Island,Indonesia,Malaysia,Singapore,Thailand,Viet Nam","KH,CX,ID,MY,SG,TH,VN","Cambodia,Indonesia,Malaysia,Thailand,Viet Nam","Christmas Island,Singapore",,,,,
10242,Animalia,Chordata,Actinopteri,Perciformes,Labridae,Cheilinus,undulatus,,Cheilinus undulatus,"Rüppell, 1835",SPECIES,II,"",Cheilinus undulatus,"","","American Samoa,Australia,British Indian Ocean Territory (United Kingdom),China,Christmas Island,Cocos (Keeling) Islands,Cook Islands,Djibouti,Egypt,Eritrea,Fiji,French Polynesia,Guam,Hong Kong, SAR,India,Indonesia,Israel,Japan,Kiribati,Madagascar,Malaysia,Maldives,Marshall Islands,Micronesia (Federated States of),Mozambique,Myanmar,New Caledonia,Niue,Northern Mariana Islands,Palau,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Samoa,Saudi Arabia,Seychelles,Solomon Islands,Somalia,Sri Lanka,Sudan,Taiwan, Province of China,Thailand,Tokelau,Tonga,United Republic of Tanzania,United States Minor Outlying Islands,Vanuatu,Viet Nam","AS,AU,IO,CN,CX,CC,CK,DJ,EG,ER,FJ,PF,GU,HK,IN,ID,IL,JP,KI,MG,MY,MV,MH,FM,MZ,MM,NC,NU,MP,PW,PG,PH,PN,WS,SA,SC,SB,SO,LK,SD,TW,TH,TK,TO,TZ,UM,VU,VN","American Samoa,Australia,British Indian Ocean Territory (United Kingdom),China,Christmas Island,Cocos (Keeling) Islands,Cook Islands,Djibouti,Egypt,Eritrea,Fiji,French Polynesia,Guam,Hong Kong, SAR,India,Indonesia,Israel,Japan,Kiribati,Madagascar,Malaysia,Maldives,Marshall Islands,Micronesia (Federated States of),Mozambique,Myanmar,New Caledonia,Niue,Northern Mariana Islands,Palau,Papua New Guinea,Philippines,Pitcairn Islands (United Kingdom),Samoa,Saudi Arabia,Seychelles,Solomon Islands,Somalia,Sri Lanka,Sudan,Taiwan, Province of China,Thailand,Tokelau,Tonga,United Republic of Tanzania,United States Minor Outlying Islands,Vanuatu,Viet Nam",,,,,,
6480,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,abdominalis,,Hippocampus abdominalis,"Lesson, 1827",SPECIES,II,"",Hippocampus spp.,"","","Australia,New Zealand","AU,NZ","Australia,New Zealand",,,,,,
5857,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,alatus,,Hippocampus alatus,"Kuiter, 2001",SPECIES,II,"",Hippocampus spp.,"","","Australia,Papua New Guinea","AU,PG","Australia,Papua New Guinea",,,,,,
8755,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,angustus,,Hippocampus angustus,"Günther, 1870",SPECIES,II,"",Hippocampus spp.,"","",Australia,AU,Australia,,,,,,
9898,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,bargibanti,,Hippocampus bargibanti,"Whitley, 1970",SPECIES,II,"",Hippocampus spp.,"","","Australia,Indonesia,Japan,Malaysia,Micronesia (Federated States of),New Caledonia,Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu","AU,ID,JP,MY,FM,NC,PW,PG,PH,SB,VU","Australia,Indonesia,Japan,Malaysia,New Caledonia,Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu",,,,,,Micronesia (Federated States of)
8864,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,breviceps,,Hippocampus breviceps,"Peters, 1869",SPECIES,II,"",Hippocampus spp.,"","",Australia,AU,Australia,,,,,,
3159,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,colemani,,Hippocampus colemani,"Kuiter, 2003",SPECIES,II,"",Hippocampus spp.,"","",Australia,AU,Australia,,,,,,
6494,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,denise,,Hippocampus denise,"Lourie & Randall, 2003",SPECIES,II,"",Hippocampus spp.,"","","Australia,Indonesia,Malaysia,Marshall Islands,Micronesia (Federated States of),Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu","AU,ID,MY,MH,FM,PW,PG,PH,SB,VU","Australia,Indonesia,Malaysia,Marshall Islands,Micronesia (Federated States of),Palau,Papua New Guinea,Philippines,Solomon Islands,Vanuatu",,,,,,
7089,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,fisheri,,Hippocampus fisheri,"Jordan & Evermann, 1903",SPECIES,II,"",Hippocampus spp.,"","","Australia,New Caledonia,United States of America","AU,NC,US",United States of America,,,,,,"Australia,New Caledonia"
3658,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,grandiceps,,Hippocampus grandiceps,"Kuiter, 2001",SPECIES,II,"",Hippocampus spp.,"","",Australia,AU,Australia,,,,,,
10041,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,hendriki,,Hippocampus hendriki,"Kuiter, 2001",SPECIES,II,"",Hippocampus spp.,"","",Australia,AU,Australia,,,,,,
11016,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,histrix,,Hippocampus histrix,"Kaup, 1856",SPECIES,II,"",Hippocampus spp.,"","","American Samoa,Australia,Bangladesh,Brunei Darussalam,Cambodia,China,Comoros,Egypt,Fiji,France,French Polynesia,Guam,Hong Kong, SAR,India,Indonesia,Japan,Jordan,Kenya,Kiribati,Madagascar,Malaysia,Mauritius,Micronesia (Federated States of),Mozambique,Myanmar,Nauru,New Caledonia,Oman,Palau,Papua New Guinea,Philippines,Republic of Korea,Réunion,Samoa,Seychelles,Singapore,Solomon Islands,South Africa,Sri Lanka,Taiwan, Province of China,Thailand,Tonga,Tuvalu,United Republic of Tanzania,United States of America,Vanuatu,Viet Nam","AS,AU,BD,BN,KH,CN,KM,EG,FJ,FR,PF,GU,HK,IN,ID,JP,JO,KE,KI,MG,MY,MU,FM,MZ,MM,NR,NC,OM,PW,PG,PH,KR,RE,WS,SC,SG,SB,ZA,LK,TW,TH,TO,TV,TZ,US,VU,VN","Australia,China,Egypt,France,French Polynesia,Guam,India,Indonesia,Japan,Malaysia,Mauritius,Micronesia (Federated States of),Mozambique,New Caledonia,Palau,Papua New Guinea,Philippines,Republic of Korea,Réunion,Samoa,Seychelles,South Africa,Taiwan, Province of China,Thailand,Tonga,United Republic of Tanzania,United States of America,Viet Nam",,,,,,"American Samoa,Bangladesh,Brunei Darussalam,Cambodia,Comoros,Fiji,Hong Kong, SAR,Jordan,Kenya,Kiribati,Madagascar,Myanmar,Nauru,Oman,Singapore,Solomon Islands,Sri Lanka,Tuvalu,Vanuatu"
5119,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,jugumus,,Hippocampus jugumus,"Kuiter, 2001",SPECIES,II,"",Hippocampus spp.,"","",Australia,AU,Australia,,,,,,
4719,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,kelloggi,,Hippocampus kelloggi,"Jordan & Snyder, 1901",SPECIES,II,"",Hippocampus spp.,"","","Afghanistan,Australia,Bahrain,Bangladesh,Brunei Darussalam,Cambodia,China,Djibouti,Egypt,Eritrea,Hong Kong, SAR,India,Indonesia,Iran (Islamic Republic of),Iraq,Israel,Japan,Kenya,Kuwait,Malaysia,Myanmar,New Caledonia,Oman,Pakistan,Papua New Guinea,Philippines,Qatar,Saudi Arabia,Seychelles,Singapore,Somalia,Sri Lanka,Taiwan, Province of China,Thailand,United Arab Emirates,United Republic of Tanzania,Viet Nam,Yemen","AF,AU,BH,BD,BN,KH,CN,DJ,EG,ER,HK,IN,ID,IR,IQ,IL,JP,KE,KW,MY,MM,NC,OM,PK,PG,PH,QA,SA,SC,SG,SO,LK,TW,TH,AE,TZ,VN,YE","Australia,China,Egypt,Hong Kong, SAR,India,Indonesia,Japan,Malaysia,New Caledonia,Oman,Pakistan,Papua New Guinea,Philippines,Taiwan, Province of China,Thailand,United Republic of Tanzania,Viet Nam",,,,,,"Afghanistan,Bahrain,Bangladesh,Brunei Darussalam,Cambodia,Djibouti,Eritrea,Iran (Islamic Republic of),Iraq,Israel,Kenya,Kuwait,Myanmar,Qatar,Saudi Arabia,Seychelles,Singapore,Somalia,Sri Lanka,United Arab Emirates,Yemen"
